service_id,group,field_id,field_name,status,score,confidence,checked_at,evidence_valid,source_ids,user_result,failure_recovery,user_control,mobile_pc_difference,risk,adoption_caution
"OWN-001","OWN","FIELD-001","시작과 첫 가치","scored","2","medium","2026-08-24","true","SRC-031;SRC-032;SRC-033;SRC-034;SRC-045;SRC-046","시작과 첫 가치에 대한 확인 가능한 사용자 결과","","사용자 선택·해제 범위를 제공","","과도한 보호 보장·자동 동의·추적 확대를 피해야 함","외형이나 문구를 복제하지 않고 사용자 결과와 안전 원칙만 재설계"
"OWN-001","OWN","FIELD-002","핵심 과업 완성도","scored","2","medium","2026-08-24","true","SRC-031;SRC-032;SRC-033;SRC-034;SRC-045;SRC-046","핵심 과업 완성도에 대한 확인 가능한 사용자 결과","","사용자 선택·해제 범위를 제공","","과도한 보호 보장·자동 동의·추적 확대를 피해야 함","외형이나 문구를 복제하지 않고 사용자 결과와 안전 원칙만 재설계"
"OWN-001","OWN","FIELD-003","개인화","scored","1","medium","2026-08-24","true","SRC-031;SRC-032;SRC-033;SRC-034;SRC-045;SRC-046","개인화에 대한 확인 가능한 사용자 결과","","사용자 선택·해제 범위를 제공","","과도한 보호 보장·자동 동의·추적 확대를 피해야 함","외형이나 문구를 복제하지 않고 사용자 결과와 안전 원칙만 재설계"
"OWN-001","OWN","FIELD-004","결과 이해와 설명","scored","2","medium","2026-08-24","true","SRC-031;SRC-032;SRC-033;SRC-034;SRC-045;SRC-046","결과 이해와 설명에 대한 확인 가능한 사용자 결과","","사용자 선택·해제 범위를 제공","","과도한 보호 보장·자동 동의·추적 확대를 피해야 함","외형이나 문구를 복제하지 않고 사용자 결과와 안전 원칙만 재설계"
"OWN-001","OWN","FIELD-005","오류·실패 복구","scored","2","medium","2026-08-24","true","SRC-031;SRC-032;SRC-033;SRC-034;SRC-045;SRC-046","오류·실패 복구에 대한 확인 가능한 사용자 결과","복구 또는 대체 경로가 공개됨","사용자 선택·해제 범위를 제공","","과도한 보호 보장·자동 동의·추적 확대를 피해야 함","외형이나 문구를 복제하지 않고 사용자 결과와 안전 원칙만 재설계"
"OWN-001","OWN","FIELD-006","저장·내보내기·공유","scored","1","medium","2026-08-24","true","SRC-031;SRC-032;SRC-033;SRC-034;SRC-045;SRC-046","저장·내보내기·공유에 대한 확인 가능한 사용자 결과","","사용자 선택·해제 범위를 제공","","과도한 보호 보장·자동 동의·추적 확대를 피해야 함","외형이나 문구를 복제하지 않고 사용자 결과와 안전 원칙만 재설계"
"OWN-001","OWN","FIELD-007","모바일 경험","scored","3","high","2026-08-24","true","SRC-031;SRC-032;SRC-033;SRC-034;SRC-045;SRC-046","모바일 경험에 대한 확인 가능한 사용자 결과","","사용자 선택·해제 범위를 제공","플랫폼별 지원 범위가 다름","과도한 보호 보장·자동 동의·추적 확대를 피해야 함","외형이나 문구를 복제하지 않고 사용자 결과와 안전 원칙만 재설계"
"OWN-001","OWN","FIELD-008","PC 경험","scored","3","high","2026-08-24","true","SRC-031;SRC-032;SRC-033;SRC-034;SRC-045;SRC-046","PC 경험에 대한 확인 가능한 사용자 결과","","사용자 선택·해제 범위를 제공","플랫폼별 지원 범위가 다름","과도한 보호 보장·자동 동의·추적 확대를 피해야 함","외형이나 문구를 복제하지 않고 사용자 결과와 안전 원칙만 재설계"
"OWN-001","OWN","FIELD-009","플랫폼 간 연속성","scored","2","medium","2026-08-24","true","SRC-031;SRC-032;SRC-033;SRC-034;SRC-045;SRC-046","플랫폼 간 연속성에 대한 확인 가능한 사용자 결과","","사용자 선택·해제 범위를 제공","플랫폼별 지원 범위가 다름","과도한 보호 보장·자동 동의·추적 확대를 피해야 함","외형이나 문구를 복제하지 않고 사용자 결과와 안전 원칙만 재설계"
"OWN-001","OWN","FIELD-010","접근성","scored","2","medium","2026-08-24","true","SRC-031;SRC-032;SRC-033;SRC-034;SRC-045;SRC-046","접근성에 대한 확인 가능한 사용자 결과","","사용자 선택·해제 범위를 제공","","과도한 보호 보장·자동 동의·추적 확대를 피해야 함","외형이나 문구를 복제하지 않고 사용자 결과와 안전 원칙만 재설계"
